area_ha,dna_richness,trad_richness
545,14,18
3290000,92,62
2,15,10
9,0,7
5,2,8
3,1,3
10,9,8
7,0,13
25,10,8
2,8,4
1,4,9
3,14,8
12,15,14
3,13,17
6,16,13
1,15,10
12,0,14
8,0,11
3,9,17
3,13,10
27,8,13
2,5,15
27,15,10
35,13,14
5,7,14
1,8,11
3,8,15
27,10,12
3,13,11
15,18,13
12,15,16
11,10,13
10,13,15
11,17,14
513,13,10
518,12,9
1473,22,16
29800,23,19
1473,14,16
29,8,6
12,4,3
9,8,8
70,5,8
27,4,4
153,8,15
90,5,5
32,5,3
800,7,7
22,6,6
37,6,4
9,4,4
29,7,7
16,8,7
87,21,16
96,31,17
98,17,16
16,18,8
799,25,21
53,31,20
174,30,24
1730,25,17
4200,43,54
2200,13,13
0.5,1,1
3.3,1,1
0.1,2,2
0.1,2,2
0.1,3,2
